Assay,Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Sample Characteristic[strain],Sample Characteristic Ontology Term[strain],Sample Characteristic[sex],Sample Characteristic Ontology Term[sex],Sample Characteristic[age],Sample Characteristic Ontology Term[age],Sample Characteristic[organism part],Sample Characteristic Ontology Term[organism part],Sample Characteristic[cell type],Sample Characteristic Ontology Term[cell type],Sample Characteristic[facs marker],Sample Characteristic Ontology Term[facs marker],Factor Value[single cell identifier],Factor Value Ontology Term[single cell identifier],Factor Value[cell type],Factor Value Ontology Term[cell type]
HSPC_818,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_818,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_819,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_819,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_820,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_820,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_821,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_821,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_822,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_822,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_823,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_823,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_824,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_824,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_825,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_825,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_826,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_826,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_827,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_827,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_828,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_828,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_829,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_829,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_830,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_830,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_831,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_831,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_832,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_832,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_833,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_833,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_834,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_834,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_835,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_835,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_836,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_836,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_837,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_837,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_838,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_838,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_839,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_839,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_840,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_840,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_841,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_841,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_842,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_842,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_843,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_843,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_844,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_844,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_845,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_845,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_846,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_846,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_847,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_847,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_848,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_848,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_849,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_849,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_850,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_850,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_851,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_851,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
HSPC_852,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,hematopoietic stem cell and hematopoietic multipotent progenitor cell,Lin- Sca1+ c-Kit+,HSPC_852,hematopoietic stem cell and hematopoietic multipotent progenitor cell,,,,,
LT_HSC_001,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_001,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_002,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_002,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_003,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_003,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_004,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_004,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_005,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_005,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_006,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_006,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_007,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_007,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_008,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_008,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_009,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_009,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_010,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_010,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_011,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_011,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_012,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_012,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_013,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_013,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_014,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_014,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_015,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_015,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_016,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_016,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_017,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_017,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_018,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_018,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_019,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_019,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_020,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_020,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_021,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_021,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_022,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_022,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
LT_HSC_023,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,C57BL/6,http://www.ebi.ac.uk/efo/EFO_0004472,female,http://purl.obolibrary.org/obo/PATO_0000383,8 to 12 week,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,Lin- Sca1+ c-Kit+ CD34- Flk2-,LT_HSC_023,long term hematopoietic stem cell,http://purl.obolibrary.org/obo/CL_0002034,,,
